condition1A	condition1B	condition1C	condition2A	condition2B	condition2C	condition3A	condition3B	condition3C	condition4A	condition4B	condition4C	condition5	condition6
gene0001	1	1	0	2	1	1	0	0	0	0	0	0	100	45
gene0002	0	0	0	0	0	0	0	0	0	0	0	0	83	24
gene0003	0	0	0	0	0	0	0	0	0	0	0	0	6	28
gene0004	0	0	0	0	0	0	0	0	0	0	0	0	3	19
gene0005	12	15	17	20	26	21	30	43	48	42	48	58	12	93
gene0006	33	29	25	4	1	6	1	1	1	1	0	1	15	0
gene0007	30	38	22	55	68	49	40	40	37	48	43	50	2064	40
gene0008	0	0	0	0	0	0	0	0	0	0	0	0	58	13
gene0009	0	0	0	0	0	0	0	0	0	0	0	0	46	205
gene0010	0	0	0	0	0	0	0	0	0	0	0	0	63	31
gene0011	19	16	2	81	123	47	28	48	92	72	74	146	115	27
gene0012	0	0	0	0	0	0	0	0	0	0	0	0	24	0
gene0013	0	0	0	0	0	0	0	0	0	0	0	0	0	201
gene0014	0	0	0	0	0	0	0	0	0	0	0	0	76	16
gene0015	0	0	0	0	0	0	0	0	0	0	0	0	11	314
gene0016	0	0	0	4	7	4	23	40	42	66	73	108	1	0
gene0017	34	212	624	125	2	100	1	1	2	0	0	1	12	18
gene0018	0	0	0	0	0	0	0	0	0	0	0	0	18	42
gene0019	2	7	1	68	39	15	21	26	32	55	90	73	156	78
gene0020	0	1	1	3	6	4	8	29	11	90	84	188	5	4
gene0021	0	0	0	0	0	0	0	0	0	0	0	0	67	35
gene0022	0	0	0	0	0	0	0	0	0	0	0	0	9	29
gene0023	30	18	11	17	24	11	45	20	24	13	10	16	0	1
gene0024	30	53	68	25	22	57	107	96	105	58	47	42	5	1
gene0025	1	0	1	13	6	10	207	223	93	241	167	183	37	5
gene0026	0	0	0	0	0	0	0	0	0	0	0	0	135	75
gene0027	0	0	0	3	24	5	37	73	101	188	281	224	1	1
gene0028	0	0	0	0	0	0	0	0	0	0	0	0	32	73
gene0029	0	0	1	1	1	0	0	1	0	3	2	8	122	58
gene0030	12	12	19	7	3	10	3	4	4	4	1	4	13	0
gene0031	0	0	0	0	0	0	0	0	0	0	0	0	1	118
gene0032	0	0	0	0	0	0	0	0	0	0	0	0	0	84
gene0033	0	0	0	0	0	0	0	0	0	0	0	0	4	29
gene0034	5	11	5	28	26	12	19	25	29	55	66	68	43	6
gene0035	3	4	3	5	15	5	7	8	8	11	19	10	2	12
gene0036	3	6	5	17	19	17	16	17	13	17	27	21	0	0
gene0037	0	0	0	0	0	0	0	0	0	0	0	0	81	30
gene0038	0	0	0	0	0	0	0	0	0	0	0	0	48	14
gene0039	0	0	0	0	0	0	0	0	0	0	0	0	265	108
gene0040	29	28	41	7	2	11	9	5	6	7	3	4	12	5
gene0041	0	0	0	0	0	0	0	1	0	1	0	0	6	74
gene0042	0	1	0	4	9	3	7	6	8	19	14	20	1	0
gene0043	0	0	0	1	2	2	2	2	4	6	2	2	67	1
gene0044	0	0	0	0	0	0	0	0	0	0	0	0	58	117
gene0045	44	29	57	26	17	32	3	1	3	1	0	0	14	1
gene0046	2	3	3	7	13	9	2	3	6	0	1	1	18	0
gene0047	0	0	0	0	0	0	0	0	0	0	0	0	139	38
gene0048	5	1	2	4	3	3	47	53	69	34	26	39	1	0
gene0049	12	10	10	9	5	7	14	8	9	8	5	4	3	19
gene0050	44	99	39	152	117	72	62	82	66	58	38	53	19	40
gene0051	0	0	0	7	5	5	7	20	40	7	13	18	7	0
gene0052	0	0	0	0	0	0	0	0	0	0	0	0	14	58
gene0053	1	1	1	1	0	1	0	1	0	0	0	1	26	4
gene0054	394	291	208	168	120	155	35	36	54	18	32	29	9	54
gene0055	5	34	6	83	183	47	76	154	116	217	185	426	86	43
gene0056	8	12	2	0	0	1	1	0	1	0	0	1	0	0
gene0057	0	0	0	0	0	0	0	0	0	0	0	0	5	19
gene0058	0	0	0	0	0	0	0	0	0	0	0	0	2	16
gene0059	3	14	2	34	17	1	153	177	198	187	470	105	59	37
gene0060	0	0	0	0	0	0	0	0	0	0	0	0	30	234
gene0061	0	1	1	4	5	2	1	1	1	16	16	21	0	0
gene0062	1	1	1	1	1	2	11	8	6	8	3	5	2	13
gene0063	0	0	0	0	0	0	0	0	0	0	0	0	378	108
gene0064	0	0	0	0	0	0	0	0	0	0	0	0	2	19
gene0065	0	0	0	0	0	0	0	0	0	0	0	0	166	16
gene0066	15	52	247	14	1	48	0	0	0	0	0	0	4068	3742
gene0067	0	0	0	0	0	0	0	0	0	0	0	0	323	160
gene0068	0	0	0	0	0	0	0	0	0	1	2	2	12	1
gene0069	0	0	0	0	0	0	0	0	0	0	0	0	16	2
gene0070	1	2	2	4	2	5	36	31	48	80	89	109	31	13
gene0071	0	0	0	0	0	0	0	0	0	0	0	0	5	21
gene0072	0	0	0	0	0	0	0	0	0	0	0	0	237	2
gene0073	0	0	0	0	0	0	0	0	0	0	0	0	22	52
gene0074	0	0	0	0	0	0	0	0	0	0	0	0	23	76
gene0075	0	0	0	0	0	0	0	0	0	0	0	0	30	11
gene0076	0	0	0	0	0	0	0	0	0	0	0	0	19	73
