run	condition	tissue
HappyLeaf_Purdue_1	HappyLeaf_Purdue_L	Leaf
HappyLeaf_Purdue_2	HappyLeaf_Purdue_L	Leaf
HappyLeaf_Purdue_3	HappyLeaf_Purdue_L	Leaf
HappyLeaf_Purdue_4	HappyLeaf_Purdue_L	Leaf
HappyLeaf_Purdue_5	HappyLeaf_Purdue_L	Leaf
HappyLeaf_Purdue_6	HappyLeaf_Purdue_L	Leaf
HappyLeaf_Purdue_7	HappyLeaf_Purdue_L	Leaf
HappyLeaf_Purdue_8	HappyLeaf_Purdue_L	Leaf
HappyLeaf_APL_1	HappyLeaf_APL_L	Leaf
HappyLeaf_APL_2	HappyLeaf_APL_L	Leaf
HappyLeaf_APL_3	HappyLeaf_APL_L	Leaf
HappyLeaf_APL_4	HappyLeaf_APL_L	Leaf
HappyLeaf_APL_5	HappyLeaf_APL_L	Leaf
HappyLeaf_APL_6	HappyLeaf_APL_L	Leaf
HappyLeaf_UMN_1	HappyLeaf_UMN_L	Leaf
HappyLeaf_UMN_2	HappyLeaf_UMN_L	Leaf
HappyLeaf_UMN_3	HappyLeaf_UMN_L	Leaf
HappyLeaf_UMN_4	HappyLeaf_UMN_L	Leaf
HappyLeaf_UMN_5	HappyLeaf_UMN_L	Leaf
HappyLeaf_UMN_6	HappyLeaf_UMN_L	Leaf
HappyLeaf_UMN_7	HappyLeaf_UMN_L	Leaf
HappyLeaf_UMN_8	HappyLeaf_UMN_L	Leaf
HappyLeaf_Cornell_1	HappyLeaf_Cornell_L	Leaf
HappyLeaf_Cornell_2	HappyLeaf_Cornell_L	Leaf
HappyLeaf_Cornell_3	HappyLeaf_Cornell_L	Leaf
HappyLeaf_Cornell_4	HappyLeaf_Cornell_L	Leaf
HappyLeaf_Cornell_5	HappyLeaf_Cornell_L	Leaf
HappyLeaf_Cornell_6	HappyLeaf_Cornell_L	Leaf
HappyLeaf_Cornell_7	HappyLeaf_Cornell_L	Leaf
HappyLeaf_Cornell_8	HappyLeaf_Cornell_L	Leaf
Herbivory_0h_2	Herbivory_0h_L	Leaf
Herbivory_0h_3	Herbivory_0h_L	Leaf
Herbivory_0h_4	Herbivory_0h_L	Leaf
Herbivory_0h_5	Herbivory_0h_L	Leaf
Herbivory_1h_1	Herbivory_1h_L	Leaf
Herbivory_1h_2	Herbivory_1h_L	Leaf
Herbivory_1h_3	Herbivory_1h_L	Leaf
Herbivory_1h_4	Herbivory_1h_L	Leaf
