Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,53,0.1987,273.8,111.2,0.5577,0.00000,"g0052 g0197 g0203 g0231 g0518 g0605 g0653 g0791 g0928 g0930 g0945 g0959 g0967 g1043 g1127 g1164 g1168 g1236 g1274 g1457 g1530 g2938 g2981 g3217 g3220 g3322 g3341 g3530 g3613 g3638 g3780 g3855 g3861 g3985 g4090 g4256 g4278 g4411 g4471 g4521 g4586 g4858 g4893 g0140 g0853 g1083 g1089 g1266 g2583 g2651 g3253 g4520 g4522"
2,40,0.3271,255.1,8.853,0.7417,0.00000,"g0135 g0017 g0110 g0397 g0465 g0489 g1077 g0529 g0732 g1419 g0766 g0836 g0924 g1345 g1365 g1411 g4054 g1499 g4464 g1661 g1687 g4985 g1744 g2079 g2231 g2280 g2289 g2632 g2804 g2928 g3406 g3532 g3610 g4243 g4388 g4624 g4626 g4665 g4997 g0815"
3,42,0.3068,264.2,33.29,0.6926,0.00000,"g1338 g0068 g0079 g0089 g0161 g0226 g0228 g0246 g0285 g0444 g0751 g0789 g0863 g0960 g1020 g1076 g1152 g1238 g1246 g1766 g1848 g1920 g2125 g2157 g2270 g2291 g2402 g2614 g2979 g3084 g3156 g3235 g3255 g3280 g4065 g3296 g3768 g3880 g4133 g4277 g4353 g4376"
4,43,0.2975,268.6,8.707,0.7393,0.00000,"g0186 g0191 g0382 g0533 g0782 g0837 g0841 g0943 g1029 g1278 g1414 g1433 g3515 g1538 g1571 g1712 g1713 g1800 g1836 g1903 g2172 g2221 g2235 g2391 g2788 g2908 g2991 g3076 g3471 g3521 g3653 g3961 g4031 g4117 g4438 g4631 g4637 g4675 g4761 g4989 g4990 g1143 g4741"
5,30,0.4625,201.2,16.75,0.7239,0.00000,"g0550 g1193 g1839 g2185 g0060 g0153 g0216 g0315 g0546 g0584 g0900 g0942 g1977 g2055 g2214 g2326 g3132 g3782 g4058 g1978 g4081 g4324 g4361 g4363 g4390 g4486 g4833 g4888 g4913 g4949"
6,21,0.6704,140.8,28.32,0.6669,2.07994e-08,"g0905 g3503 g3873 g4780 g1262 g0173 g0194 g0200 g1032 g1471 g1478 g1684 g1842 g2174 g4776 g2234 g3788 g4359 g4403 g4743 g3550"
7,23,0.3038,76.87,60.90,0.4183,6.15951e-06,"g4033 g2298 g0223 g2567 g3352 g4821 g3752 g3324 g2422 g1264 g3964 g0028 g0848 g4667 g2049 g3500 g2528 g0322 g1664 g3194 g4738 g1276 g2860"
8,19,0.3661,62.60,80.77,0.3452,0.00709615,"g3398 g4678 g4146 g3595 g0451 g1597 g0411 g1134 g0531 g3228 g1883 g4623 g0461 g4771 g3317 g2360 g2874 g4535 g4154"
9,21,0.3080,64.69,105.1,0.3054,0.0624533,"g1778 g1177 g0912 g0192 g2428 g4059 g4757 g3219 g2717 g3404 g2015 g0039 g3799 g2702 g2890 g1397 g1531 g0972 g2826 g4305 g1753"
10,27,0.3159,110.9,52.65,0.5097,8.55741e-09,"g2899 g2709 g3362 g1415 g4836 g3891 g3045 g3564 g0882 g2089 g3149 g1355 g1516 g3761 g4297 g1399 g2870 g1501 g3809 g2724 g2010 g3488 g2847 g0616 g0276 g1561 g1592"
11,12,0.6180,40.79,48.43,0.3603,0.00430778,"g0707 g1618 g3349 g2500 g1642 g1624 g1614 g1635 g3432 g3542 g1632 g0101"
12,18,0.4230,64.71,76.06,0.3661,0.00281681,"g3429 g4288 g4775 g4918 g0708 g2325 g2566 g0459 g4061 g2892 g4397 g2283 g0258 g2799 g4154 g2211 g4809 g4435"
13,22,0.3605,83.26,92.04,0.3797,1.71459e-05,"g3418 g1192 g3444 g1004 g0030 g4831 g0692 g0312 g2142 g0801 g1290 g2517 g4052 g4160 g4562 g1806 g0370 g3980 g3856 g0260 g0488 g0437"
14,14,0.7810,71.07,49.15,0.4795,2.38757e-05,"g4421 g1620 g2639 g1377 g4299 g1691 g1740 g2525 g4368 g4936 g4459 g1609 g4427 g1623"
15,25,0.5805,174.2,10.99,0.7406,0.00000,"g0219 g0272 g0277 g0294 g0320 g1430 g1443 g1603 g1656 g1727 g1882 g1943 g2117 g2366 g2386 g2644 g4971 g3043 g3075 g3811 g3851 g4089 g4383 g4895 g4910"
16,30,0.3212,139.7,58.56,0.5410,0.00000,"g4908 g0707 g1833 g1629 g1646 g1618 g1612 g4315 g1392 g4296 g1611 g1831 g1638 g3349 g2500 g1642 g1624 g1614 g1627 g1635 g1648 g1616 g3432 g3542 g1632 g0101 g1625 g1820 g4205 g3996"
17,18,0.3006,45.99,50.14,0.3481,0.00310258,"g0054 g0358 g2645 g2976 g3293 g3539 g0104 g4714 g4196 g0147 g2584 g0253 g4852 g4193 g3417 g3339 g2475 g3223"
18,27,0.3563,125.1,50.17,0.5455,1.21773e-09,"g0291 g1892 g0727 g3441 g0834 g3174 g0335 g3863 g0137 g4067 g1902 g3204 g4633 g1460 g3666 g2940 g1401 g2769 g3289 g0844 g3271 g4248 g4688 g3581 g3087 g4924 g3544"
