no. samples with count > 0	no. samples with count >= 5	no. samples with count >= 10	pre-VST median expression	pre-VST mean expression	pre-VST expression variance	post-VST median expression	post-VST mean expression	post-VST expression variance
g0001	10	10	10	812.852453767568	857.916984788397	74220.9419921182	9.70785817444226	9.72098703310471	0.218566626332865
g0002	10	10	10	197.492547900876	230.388810581264	12190.7670621305	7.79033538208878	7.90535836535624	0.240969561823331
g0003	8	7	2	5.27312891780398	6.78807485846964	29.5758737494247	4.56883225779485	4.54431610997632	0.282247593601609
g0004	10	10	10	52.7250438155718	58.0682556935792	1380.07587910204	6.23132766815745	6.19576219899577	0.456904794468376
g0005	10	8	8	15.9197673610805	13.9036687299462	44.4161357077761	5.19569484754583	5.0467656659463	0.151334959761468
g0006	10	10	7	24.8710663891777	22.3573282595502	201.874476808408	5.54162081663688	5.33392381707094	0.342597320898809
g0007	10	5	0	5.23299402587026	4.96640993159579	6.47722358538267	4.562892265499	4.50863996714006	0.0598541834986106
g0010	10	10	9	22.403839415605	24.4360385966967	178.937581385883	5.45650092263815	5.45721940486916	0.190983070194998
g0011	9	2	2	2.10278649789006	35.6070425160237	5152.78046559583	4.23312202281199	4.8469034107945	2.15485332761587
g0012	10	10	10	606.135978168203	716.351428514123	155841.560430379	9.29711022217901	9.37654658238239	0.475068160387716
g0013	10	10	10	911.373772886481	962.972459624815	21993.8800275919	9.87066735458826	9.93475983555749	0.0415092749062671
g0014	10	10	10	181.375080690542	195.01342254464	1719.35488738037	7.684130472675	7.75613510910747	0.0642946904650195
g0015	10	10	10	22.0510651357952	21.0103383768028	43.1956179872901	5.4436474285316	5.38074606821212	0.0687802068917053
g0016	2	1	0	0	1.09342954437911	5.52858472889253	3.6491789472175	3.8355396622915	0.1558397648669
g0017	1	0	0	0	0.0941641265673729	0.0886688273219621	3.6491789472175	3.68858039881205	0.0155247438775776
g0018	10	10	9	46.4832540298482	47.1363644474379	1344.34751412115	6.10138951713185	5.87012494905279	0.827008063667466
g0019	6	2	1	0.691658684552614	2.19860197099404	11.64029585705	3.984707462176	4.05842903553561	0.201981167222324
g0020	10	10	10	67.3759171534362	82.5299795429583	1306.47693058196	6.50250412651736	6.66641075008909	0.17667033039846
g0021	10	10	10	211.056009461196	263.328194101652	19747.3820648374	7.87651841033694	8.02608076577962	0.442275440805935
g0022	10	10	10	201.870509048348	180.112136183744	11682.6734389737	7.8104538760761	7.43150881840588	0.921225282568044
g0023	2	0	0	0	0.277089576751308	0.353179874118419	3.6491789472175	3.74428369257033	0.0405499981716204
g0024	10	10	10	458.694602203716	406.528909748305	35996.1251951666	8.91709114116099	8.60608747332342	0.504909998224651
g0025	10	10	10	91.8244959937585	96.1116753889442	2167.85142932946	6.8516806111919	6.79254218953545	0.378089380051538
g0026	10	10	10	25.3297037921998	29.0124278250315	154.091935091606	5.55517256831686	5.62532858165795	0.132773250828209
g0028	2	1	0	0	0.844274683893417	4.48077209266483	3.6491789472175	3.80622280966746	0.122771791529985
g0029	3	0	0	0	0.452776736319882	0.55496987582953	3.6491789472175	3.79793258146516	0.0580255399070027
g0030	10	10	10	410.898790672142	450.424415616852	97942.9118210733	8.75096532060832	8.50637030398261	1.59299293585356
g0031	10	10	10	1373.9398031421	1397.16929603354	177919.975619738	10.450078721266	10.4187680823906	0.178125014090844
g0032	4	0	0	0	0.38725522667253	0.265531912938164	3.6491789472175	3.80827988751889	0.0427858051591969
g0034	10	6	6	13.7829838484505	15.8101918918815	188.675656324146	5.09933639611775	5.02232802423729	0.42738080324853
g0035	10	6	4	7.4123795613965	7.84821736289848	27.6275829585565	4.73182206006409	4.687403983984	0.155332836082533
g0036	10	10	10	417.179571179525	464.961013215589	13847.9135244074	8.78762523128134	8.89882559379143	0.11820648918791
g0037	10	9	8	13.7779696164329	33.2580386752295	2363.01648255746	5.09909676066126	5.40632605222862	0.881645054122057
g0039	10	10	10	90.5045756579606	100.266874180185	1859.89138260588	6.83468387944523	6.88595163738356	0.205996062836219
g0040	10	10	10	86.5443886033141	81.2726658372384	350.795877355459	6.78381549456251	6.68872521214523	0.0762202904242905
g0041	10	10	10	32.9800518340363	36.5160603561629	203.544780947964	5.78665974776352	5.83851889643449	0.121018917982373
g0042	10	10	10	69.9030876031017	73.9902833583254	500.683270641651	6.543635985671	6.56921785064818	0.11803666108606
g0043	10	10	10	226.197213879379	239.657167582841	1504.44389586439	7.96811622771524	8.03132852626064	0.0440430630633099
g0044	10	10	10	30.3972481220457	29.1800291465708	129.274047917283	5.71394194610543	5.63210239866017	0.135081894989184
g0045	2	1	0	0	0.918419778583094	5.59333352935439	3.6491789472175	3.81091114442999	0.133534303320961
g0046	10	10	10	59.0383989317226	100.700338179096	10583.3251673425	6.35942484175706	6.6674570328482	0.724806949586697
g0047	10	10	9	61.6251837641216	101.323328591383	9401.14911223959	6.40507844791901	6.55245627439885	1.38751364204662
g0048	7	1	0	1.09275488876865	1.6576663315649	3.55518425606202	4.07165170297507	4.05856222128947	0.112387836306936
g0049	3	0	0	0	0.343760848965305	0.390218516663976	3.6491789472175	3.77596516176838	0.044938738430038
g0052	1	0	0	0	0.129008842768665	0.1664328151251	3.6491789472175	3.69524539185801	0.0212211732181711
g0053	3	0	0	0	0.426157572422814	0.716735496697336	3.6491789472175	3.78717526858752	0.0564061031055269
g0054	9	7	4	7.79596113702286	27.4566778216426	1874.7024547124	4.75869306650851	5.04593263984151	1.38099395375311
g0055	10	10	10	37.0469417494754	44.2984587019995	679.593193886439	5.87903183441888	5.95778444479251	0.317977862134622
g0056	10	10	10	26.8380165379691	28.2949918200947	182.894897526874	5.59865730505768	5.58962773416191	0.173506208568822
g0057	10	10	10	111.076490772239	117.573144367596	597.778129318561	7.07617568187314	7.12722123394286	0.0540271150060196
g0058	9	5	2	5.061127467564	12.9008462720277	413.806897212207	4.55072191637881	4.72019784701302	0.669636321778881
g0059	10	10	10	286.380758062836	308.940652296467	3550.21469555856	8.28009318996581	8.36253406370218	0.0593940034639836
g0060	1	0	0	0	0.0895421349850653	0.0801779393768366	3.6491789472175	3.68760705372851	0.01476719370021
g0062	10	10	10	264.984340798929	235.610514382313	9809.1281598803	8.17600453034281	7.86814838989766	0.628601108065763
g0063	10	10	10	263.846707395307	273.723115497718	2607.70024152307	8.17189288489993	8.20208851449357	0.0581640107224839
g0064	10	10	10	229.060621330889	320.007685515575	126002.079787743	7.98531236233582	8.09748040193406	0.716219500427952
g0065	10	10	10	58.7027042414024	72.9163137160212	1801.31868506644	6.35456536155655	6.48221720209053	0.303499827416612
g0066	10	10	9	22.727174910185	22.053768497993	89.139704319215	5.46642914940837	5.39635990289114	0.132136036827199
g0067	3	0	0	0	0.326814392870239	0.304294805746367	3.6491789472175	3.77521475232761	0.0421314095395872
g0068	1	0	0	0	0.0855554471783893	0.0731973454189416	3.6491789472175	3.68674675658486	0.0141134030066186
g0071	10	10	10	427.595963446987	510.895392247549	87962.1667821722	8.80544964833721	8.86850699990282	0.62900623713024
g0072	10	6	4	9.35673080544596	10.1557160215327	44.5452564952945	4.85928056839919	4.83502748718133	0.159403633474614
g0073	10	10	10	66.9073671039945	65.3902906793462	335.056924769891	6.49579970477488	6.43683494529411	0.111891296073056
g0075	4	2	0	0	1.82822780321519	11.4340734144415	3.6491789472175	3.95684020040859	0.216460362551254
g0078	6	2	2	0.843521244594001	3.57722531962268	40.8644433938741	4.0222108929669	4.12883581788802	0.351605998639884
g0079	1	0	0	0	0.171110894356779	0.292789381675766	3.6491789472175	3.70215987187042	0.0280697837707759
g0080	7	4	1	4.0857235152513	5.28100810609056	32.1766072534248	4.46070909458211	4.3709750846143	0.333367942752368
g0081	10	10	10	315.197538815741	255.969496229787	24117.3373147236	8.39441811987199	7.7295162694301	1.8530302840844
g0082	10	10	10	117.643785586671	121.494071428213	6182.56736349149	7.14094889887044	6.9618509834185	0.774287392108745
g0083	10	10	10	48.9794990447414	56.4722187139901	548.903530086589	6.16749880921188	6.25936069073144	0.159875519325811
g0086	8	4	2	2.96039182075555	4.79065613990703	23.6831396231694	4.34249128097908	4.37116751029698	0.255207480711375
g0088	10	10	10	82.1686032780742	81.7695437258478	830.445378206264	6.72482542680775	6.652230788648	0.238892454253336
g0089	1	0	0	0	0.0855554471783893	0.0731973454189416	3.6491789472175	3.68674675658486	0.0141134030066186
g0090	10	10	10	35.3925987774631	49.7227725462431	1307.94228693029	5.83650904352544	6.01932185217569	0.468145278493095
g0091	9	5	2	4.95369567583196	7.04757249011641	48.2986651957556	4.54064225029483	4.56581755770812	0.268240047559919
g0093	10	9	8	19.3413758761419	34.2540416090557	1568.62099892892	5.34047750961175	5.52015111948941	0.768858923278141
g0094	10	10	9	16.1161606748937	15.1615696009401	15.9172634610941	5.20623509798965	5.14960562744217	0.0382441865716969
g0095	10	10	10	122.062132910236	120.44651603362	1190.78702799615	7.19055030837631	7.12659049558793	0.171510765739881
g0096	10	9	7	16.5677588887802	14.9834002551345	47.3631484082969	5.22643895114092	5.10312887557277	0.13947735199054
g0097	10	10	10	582.462018503727	796.53367942356	200643.350902704	9.24618790214623	9.52662912274398	0.448375654267436
g0099	3	0	0	0	0.462958209587745	0.645633168990347	3.6491789472175	3.79775713510374	0.0598531767172258
