target_id	length	eff_length	est_counts	tpm
g0001.t1	1161	962	1340	304.43
g0002.t1	2483	2284	0	0
g0002.t2	2417	2218	280.302	27.6199
g0003.t1	4457	4258	16.698	0.857073
g0004.t1	1242	1043	69	14.4585
g0005.t1	636	437	5	2.50061
g0006.t1	4182	3983	6	0.32923
g0007.t1	1653	1454	5	0.75156
g0008.t1	444	245	0	0
g0009.t1	744	545	0	0
g0010.t1	2418	2219	0	0
g0010.t2	2367	2168	6	0.604853
g0011.t1	1588	1389	1.00432	0.158026
g0012.t1	1981	1782	892.996	109.522
g0013.t1	895	696	986	309.618
g0014.t1	6553	6354	166	5.70977
g0015.t1	3177	2978	21.9997	1.61455
g0015.t2	3255	3056	0	0
g0015.t3	3212	3013	0.000263155	1.90885e-05
g0016.t1	1570	1371	0	0
g0017.t1	3001	2802	0	0
g0018.t1	417	218	115	115.292
g0019.t1	417	218	3	3.00762
g0020.t2	1969	1770	0	0
g0020.t1	2661	2462	68	6.03641
g0021.t1	1690	1491	133	19.4954
g0022.t1	1170	971	280	63.0227
g0023.t1	2373	2174	0	0
g0024.t1	3304	3105	0	0
g0024.t2	3136	2937	0	0
g0024.t3	2912	2713	545.755	43.9648
g0025.t1	3781	3582	37.2454	2.27251
g0026.t1	4960	4761	34.4185	1.57998
g0027.t1	462	263	0	0
g0028.t2	1485	1286	0.790767	0.13439
g0028.t1	1485	1286	0.790767	0.13439
g0029.t1	1737	1538	2	0.284205
g0030.t1	1018	819	800	213.483
g0031.t1	1632	1433	41.5362	6.33489
g0031.t2	1563	1364	1485.46	238.016
g0032.t1	1840	1641	1	0.133183
g0033.t1	1595	1396	0	0
g0033.t2	1617	1418	0	0
g0034.t1	1208	1009	0.790995	0.171333
g0034.t2	1205	1006	14.209	3.08691
g0034.t3	1222	1023	1.23948e-06	2.64803e-07
g0035.t1	573	374	18	10.5186
g0036.t1	1080	881	465	115.355
g0037.t1	3126	2927	15	1.12002
g0038.t1	738	539	0	0
g0039.t1	2025	1826	130	15.5597
g0040.t1	1461	1262	99	17.1449
g0041.t1	1248	1049	7.65566e-05	1.59502e-05
g0041.t3	1339	1140	0	0
g0041.t2	1255	1056	1.20839e-07	2.50092e-08
g0041.t4	1234	1035	34.9999	7.39068
g0042.t1	5455	5256	51	2.12067
g0043.t1	2361	2162	240	24.2613
g0044.t1	2161	1962	32	3.56458
g0045.t1	1350	1151	0	0
g0046.t1	1879	1680	79	10.2772
g0047.t1	2607	2408	64	5.80873
g0048.t1	1474	1275	1.15519	0.198017
g0049.t1	2245	2046	0	0
g0050.t1	1125	926	0	0
g0051.t1	642	443	0	0
g0052.t1	861	662	0	0
g0053.t1	1912	1713	0	0
g0054.t1	1613	1414	9	1.39108
g0055.t1	1648	1449	99	14.9322
g0056.t1	2652	2453	0	0
g0056.t4	2237	2038	25	2.68098
g0056.t6	2370	2171	0	0
g0056.t2	2634	2435	0	0
g0056.t5	2331	2132	0	0
g0056.t3	2352	2153	0	0
g0057.t1	2211	2012	0	0
g0057.t2	2073	1874	129	15.0445
g0058.t1	2406	2207	4	0.39611
g0059.t1	7159	6960	1.66121	0.0521644
g0059.t2	7122	6923	292.339	9.2289
g0060.t1	141	11.8758	1	18.4033
g0061.t1	1041	842	0	0
g0062.t1	2276	2077	311	32.7252
g0063.t1	3614	3415	223.576	14.3085
g0064.t1	2588	2389	165	15.0947
g0065.t1	3381	3182	0.0040876	0.000280754
g0065.t2	3351	3152	39.9959	2.77324
g0066.t1	2737	2538	15.4394	1.32953
g0066.t3	2651	2452	0	0
g0066.t2	2061	1862	0	0
g0067.t1	600	401	0.560599	0.305538
g0068.t1	828	629	0	0
g0069.t1	1241	1042	0	0
g0069.t2	1214	1015	0	0
g0070.t1	348	149	0	0
g0071.t1	2357	2158	907	91.8573
g0072.t1	1773	1574	0	0
g0072.t5	1777	1578	0	0
g0072.t4	1986	1787	0	0
g0072.t7	1354	1155	18.3582	3.4738
g0072.t3	1358	1159	0.641832	0.121031
g0072.t2	1752	1553	0	0
g0072.t6	1756	1557	0	0
g0073.t1	2528	2329	0.0116836	0.00109639
g0073.t3	2662	2463	0	0
g0073.t4	2594	2395	0	0
g0073.t2	2509	2310	32.9883	3.12109
g0074.t1	330	131.001	0	0
g0075.t1	1573	1374	0	0
g0075.t2	1456	1257	0	0
g0075.t3	1571	1372	0	0
g0076.t1	676	477	0	0
g0077.t1	252	55.6961	0	0
g0078.t1	2803	2604	0	0
g0078.t2	2649	2450	0	0
g0078.t3	2814	2615	0	0
g0079.t1	303	104.031	0	0
g0080.t1	1920	1721	4.63744	0.588919
g0081.t1	1184	985	158.363	35.1378
g0082.t1	2136	1937	55	6.2057
g0083.t1	1655	1456	0.0344663	0.00517358
g0083.t2	1644	1445	53.9655	8.16219
g0084.t1	1328	1129	0	0
g0085.t1	1056	857	0	0
g0086.t1	2370	2171	3	0.302009
g0087.t1	1166	967	0	0
g0088.t1	1852	1653	142	18.7747
g0089.t1	753	554	0	0
g0090.t1	3312	3113	30.681	2.15402
g0091.t1	2431	2232	0	0
g0091.t2	2351	2152	0	0
g0091.t4	2481	2282	0	0
g0091.t3	2403	2204	0	0
g0091.t6	2267	2068	3.50085	0.369982
g0091.t5	2344	2145	0	0
g0091.t8	2936	2737	0	0
g0091.t7	2858	2659	4.49915	0.369803
g0092.t1	789	590	0	0
