target_id	length	eff_length	est_counts	tpm
g0001.t1	1161	962	1699	216.851
g0002.t1	2483	2284	69.2121	3.72074
g0002.t2	2417	2218	205.393	11.3702
g0003.t1	4457	4258	10.3948	0.299746
g0004.t1	1242	1043	52	6.12156
g0005.t1	636	437	20	5.61942
g0006.t1	4182	3983	46	1.41805
g0007.t1	1653	1454	12	1.01335
g0008.t1	444	245	0	0
g0009.t1	744	545	0	0
g0010.t1	2418	2219	0	0
g0010.t2	2367	2168	42.0013	2.37874
g0011.t1	1588	1389	3.0218	0.26712
g0012.t1	1981	1782	1240.98	85.5065
g0013.t1	895	696	1753	309.254
g0014.t1	6553	6354	336	6.49284
g0015.t1	3177	2978	56.9996	2.35012
g0015.t2	3255	3056	0	0
g0015.t3	3212	3013	0.00039833	1.62325e-05
g0016.t1	1570	1371	0	0
g0017.t1	3001	2802	0	0
g0018.t1	417	218	13	7.322
g0019.t1	417	218	1	0.563231
g0020.t2	1969	1770	0	0
g0020.t1	2661	2462	134	6.68282
g0021.t1	1690	1491	1039	85.562
g0022.t1	1170	971	454	57.4089
g0023.t1	2373	2174	0	0
g0024.t1	3304	3105	0	0
g0024.t2	3136	2937	0	0
g0024.t3	2912	2713	882.903	39.9582
g0025.t1	3781	3582	166.097	5.69349
g0026.t1	4960	4761	42	1.08316
g0027.t1	462	263	0	0
g0028.t2	1485	1286	0	0
g0028.t1	1485	1286	0	0
g0029.t1	1737	1538	3	0.239501
g0030.t1	1018	819	1069	160.264
g0031.t1	1632	1433	20.7681	1.77948
g0031.t2	1563	1364	2461.23	221.555
g0032.t1	1840	1641	0	0
g0033.t1	1595	1396	0	0
g0033.t2	1617	1418	0	0
g0034.t1	1208	1009	0.231477	0.0281682
g0034.t2	1205	1006	4.76852	0.582008
g0034.t3	1222	1023	1.92437e-07	2.3097e-08
g0035.t1	573	374	7	2.2981
g0036.t1	1080	881	792	110.38
g0037.t1	3126	2927	16	0.671182
g0038.t1	738	539	0	0
g0039.t1	2025	1826	215	14.4571
g0040.t1	1461	1262	160	15.567
g0041.t1	1248	1049	7.66324e-05	8.96974e-06
g0041.t3	1339	1140	0	0
g0041.t2	1255	1056	8.90774e-08	1.03573e-08
g0041.t4	1234	1035	64.9999	7.71108
g0042.t1	5455	5256	99	2.31272
g0043.t1	2361	2162	450	25.5564
g0044.t1	2161	1962	24	1.50195
g0045.t1	1350	1151	0	0
g0046.t1	1879	1680	90	6.57773
g0047.t1	2607	2408	19	0.968813
g0048.t1	1474	1275	3.66958	0.353386
g0049.t1	2245	2046	1	0.0600119
g0050.t1	1125	926	0	0
g0051.t1	642	443	0	0
g0052.t1	861	662	0	0
g0053.t1	1912	1713	1	0.0716779
g0054.t1	1613	1414	1	0.0868347
g0055.t1	1648	1449	118	9.999
g0056.t1	2652	2453	0	0
g0056.t4	2237	2038	73	4.39806
g0056.t6	2370	2171	0	0
g0056.t2	2634	2435	0	0
g0056.t5	2331	2132	0	0
g0056.t3	2352	2153	0	0
g0057.t1	2211	2012	0	0
g0057.t2	2073	1874	276	18.0835
g0058.t1	2406	2207	10	0.55634
g0059.t1	7159	6960	3.60815	0.0636528
g0059.t2	7122	6923	811.392	14.3906
g0060.t1	141	11.8758	0	0
g0061.t1	1041	842	0	0
g0062.t1	2276	2077	538	31.8045
g0063.t1	3614	3415	521	18.7322
g0064.t1	2588	2389	419	21.5348
g0065.t1	3381	3182	0.00462679	0.000178534
g0065.t2	3351	3152	69.9954	2.72663
g0066.t1	2737	2538	53	2.56405
g0066.t3	2651	2452	0	0
g0066.t2	2061	1862	0	0
g0067.t1	600	401	0	0
g0068.t1	828	629	0	0
g0069.t1	1241	1042	0	0
g0069.t2	1214	1015	0	0
g0070.t1	348	149	0	0
g0071.t1	2357	2158	393	22.3606
g0072.t1	1773	1574	0	0
g0072.t5	1777	1578	0	0
g0072.t4	1986	1787	0	0
g0072.t7	1354	1155	5.82625	0.61937
g0072.t3	1358	1159	0.173746	0.0184066
g0072.t2	1752	1553	0	0
g0072.t6	1756	1557	0	0
g0073.t1	2528	2329	0	0
g0073.t3	2662	2463	0	0
g0073.t4	2594	2395	93.992	4.81868
g0073.t2	2509	2310	0.00802841	0.000426737
g0074.t1	330	131.001	0	0
g0075.t1	1573	1374	0	0
g0075.t2	1456	1257	0	0
g0075.t3	1571	1372	0	0
g0076.t1	676	477	0	0
g0077.t1	252	55.6961	0	0
g0078.t1	2803	2604	0	0
g0078.t2	2649	2450	0	0
g0078.t3	2814	2615	0	0
g0079.t1	303	104.031	0	0
g0080.t1	1920	1721	7.01495	0.50048
g0081.t1	1184	985	686.985	85.6355
g0082.t1	2136	1937	201	12.7412
g0083.t1	1655	1456	0.0396335	0.00334229
g0083.t2	1644	1445	87.9604	7.47416
g0084.t1	1328	1129	0	0
g0085.t1	1056	857	0	0
g0086.t1	2370	2171	10	0.565566
g0087.t1	1166	967	0	0
g0088.t1	1852	1653	143	10.622
g0089.t1	753	554	0	0
g0090.t1	3312	3113	111.133	4.38335
g0091.t1	2431	2232	0	0
g0091.t2	2351	2152	0	0
g0091.t4	2481	2282	0	0
g0091.t3	2403	2204	0	0
g0091.t6	2267	2068	10	0.593735
g0091.t5	2344	2145	0	0
g0091.t8	2936	2737	0	0
g0091.t7	2858	2659	0	0
g0092.t1	789	590	0	0
g0093.t1	2103	1904	15	0.967313
g0094.t1	3502	3303	0	0
g0094.t2	2988	2789	0	0
