TXNAME	GENEID
Sevir.1G000100.1.v2.1	Sevir.1G000100
Sevir.1G000200.1.v2.1	Sevir.1G000200
Sevir.1G000200.2.v2.1	Sevir.1G000200
Sevir.1G000300.1.v2.1	Sevir.1G000300
Sevir.1G000400.1.v2.1	Sevir.1G000400
Sevir.1G000501.1.v2.1	Sevir.1G000501
Sevir.1G000600.1.v2.1	Sevir.1G000600
Sevir.1G000650.1.v2.1	Sevir.1G000650
Sevir.1G000700.1.v2.1	Sevir.1G000700
Sevir.1G000900.1.v2.1	Sevir.1G000900
Sevir.1G001000.1.v2.1	Sevir.1G001000
Sevir.1G001000.2.v2.1	Sevir.1G001000
Sevir.1G001100.1.v2.1	Sevir.1G001100
Sevir.1G001200.1.v2.1	Sevir.1G001200
Sevir.1G001300.1.v2.1	Sevir.1G001300
Sevir.1G001400.1.v2.1	Sevir.1G001400
Sevir.1G001500.1.v2.1	Sevir.1G001500
Sevir.1G001500.2.v2.1	Sevir.1G001500
Sevir.1G001500.3.v2.1	Sevir.1G001500
Sevir.1G001600.1.v2.1	Sevir.1G001600
Sevir.1G001700.1.v2.1	Sevir.1G001700
Sevir.1G001800.1.v2.1	Sevir.1G001800
Sevir.1G001900.1.v2.1	Sevir.1G001900
Sevir.1G002000.2.v2.1	Sevir.1G002000
Sevir.1G002000.3.v2.1	Sevir.1G002000
Sevir.1G002100.1.v2.1	Sevir.1G002100
Sevir.1G002200.1.v2.1	Sevir.1G002200
Sevir.1G002300.1.v2.1	Sevir.1G002300
Sevir.1G002400.2.v2.1	Sevir.1G002400
Sevir.1G002400.3.v2.1	Sevir.1G002400
Sevir.1G002400.4.v2.1	Sevir.1G002400
Sevir.1G002500.1.v2.1	Sevir.1G002500
Sevir.1G002600.1.v2.1	Sevir.1G002600
Sevir.1G002700.1.v2.1	Sevir.1G002700
Sevir.1G002800.1.v2.1	Sevir.1G002800
Sevir.1G002800.2.v2.1	Sevir.1G002800
Sevir.1G002900.1.v2.1	Sevir.1G002900
Sevir.1G003000.1.v2.1	Sevir.1G003000
Sevir.1G003100.1.v2.1	Sevir.1G003100
Sevir.1G003100.2.v2.1	Sevir.1G003100
Sevir.1G003200.1.v2.1	Sevir.1G003200
Sevir.1G003300.1.v2.1	Sevir.1G003300
Sevir.1G003300.2.v2.1	Sevir.1G003300
Sevir.1G003401.1.v2.1	Sevir.1G003401
Sevir.1G003401.2.v2.1	Sevir.1G003401
Sevir.1G003401.3.v2.1	Sevir.1G003401
Sevir.1G003500.1.v2.1	Sevir.1G003500
Sevir.1G003550.1.v2.1	Sevir.1G003550
Sevir.1G003600.1.v2.1	Sevir.1G003600
Sevir.1G003700.1.v2.1	Sevir.1G003700
Sevir.1G003900.1.v2.1	Sevir.1G003900
